Term,Domain,Definition,Category,Related terms,Reference description,Reference source,Publication Title,Authors,Jorunal,Year,Volume,Issue,Edition,Publisher,DOI,PMID,Link to reference,Creation Date,Date of change,Comments,Term ID,
hazard,Animal Health,A biological chemical or physical agent in or a condition of an animal or animal product with the potential to cause an adverse health effect.,Epidemiology,,OIE,,,,,,,,,,,,http://www.oie.int/index.phpid=169&L=0&htmfile=glossaire.htm,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977711_hazard_Animal Health,1551347977711
hazard,Food Safety,A biological chemical or physical agent in or condition of food or feed with the potential to cause an adverse health effect.,Epidemiology,,REGULATION (EC) No 178/2002,,,,,,,,,,,,https://www.fsai.ie/uploadedFiles/Legislation/Food_Legisation_Links/General_Principles_of_Food_Law/Consol_Reg178_2002.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977712_hazard_Food Safety,1551347977712
hazard,Food Safety,A biological chemical or physical agent in or condition of food or feed with the potential to cause an adverse health effect.,Epidemiology,,REGULATION (EC) No 178/2002,Report,"REGULATION (EC) No 178/2002 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 28 January2002 laying down the general principles and requirements of food law, establishing the European Food SafetyAuthorityand laying down procedures in matters of food safety",,Official Journal of the European Communities,2002,,,,,,,https://www.fsai.ie/uploadedFiles/Legislation/Food_Legisation_Links/General_Principles_of_Food_Law/Consol_Reg178_2002.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551348583844_hazard_Food Safety,
hazard analysis,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977948_hazard analysis_Animal Health,1551347977948
hazard analysis,Food Safety,The process of collecting and evaluating information on hazards and conditions leading to their presence to decide which are significant for food safety and therefore should be addressed in the HACCP plan.,Regulatory,,Codex Alimentarius (Genral Principles of Food Hygiene),,,,,,,,,,,,https://bit.ly/2nnygVy,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978265_hazard analysis_Food Safety,1551347978265
Hazard analysis and critical control points (HACCP),Food Safety,"a system which identifies, evaluates, and controls hazards which are significant for food safety.",Regulatory,,Codex Alimentarius (Genral Principles of Food Hygiene),,,,,,,,,,,,https://bit.ly/2nnygVy,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977776_Hazard analysis and critical control points (HACCP)_Food Safety,1551347977776
Hazard analysis and critical control points (HACCP),Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977886_Hazard analysis and critical control points (HACCP)_Animal Health,1551347977886
hazard characterization,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977949_hazard characterization_Animal Health,1551347977949
hazard characterization,Food Safety,"The qualitative and/or quantitative evaluation of the nature of the adverse health effects associated with biological, chemical and physical agents, which may be present in food.",Regulatory,,Codex Alimentarius (PRINCIPLES AND GUIDELINES FOR THE CONDUCT OF MICROBIOLOGICAL RISK ASSESSMENT),,,,,,,,,,,,https://bit.ly/2NmWoop,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978282_hazard characterization_Food Safety,1551347978282
hazard identification,Animal Health,Hazard identification involves identifying the pathogenic agents that could potentially produce adverse consequences associated with the importation of a commodity,Regulatory,,OIE Import risk analysis,,,,,,,,,,,,http://www.oie.int/fileadmin/Home/eng/Health_standards/aahc/2010/chapitre_import_risk_analysis.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978072_hazard identification_Animal Health,1551347978072
hazard identification,Food Safety,"The identification of biological, chemical, and physical agents capable of causing adverse health effects and which may be present in a particular food or group of foods.",Regulatory,,Codex Alimentarius (PRINCIPLES AND GUIDELINES FOR THE CONDUCT OF MICROBIOLOGICAL RISK ASSESSMENT),,,,,,,,,,,,https://bit.ly/2NmWoop,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978228_hazard identification_Food Safety,1551347978228
hazard-specific (targeted) surveillance,Food Safety,Definition shared with animal health,Type of study,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977875_hazard-specific (targeted) surveillance_Food Safety,1551347977875
hazard-specific (targeted) surveillance,Animal Health,"Surveillance that is focused on one or more pre-defined hazards (disease, condition, biological, chemical or physical agent, or event) often this form of surveillance uses diagnostic tests for the detection of particular pathogens (e.g. molecular diagnostic methods).",Type of study,,RiskSur,,,,,,,,,,,,https://www.fp7-risksur.eu/terminology/glossary,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978193_hazard-specific (targeted) surveillance_Animal Health,1551347978193
health indicator,Common Term,any of a variety of measures (e.g. mortality rate) that indicate the state of health of a given population. A variable susceptible to direct measurement that reflects the state of health of a population,Epidemiology,,"Dictionary of Epidemiology: A Dictionary of Epidemiology, Sixth Edition Edited by Miquel Porta ISBN: 978-0-199-97672-0",,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977809_health indicator_Common Term,1551347977809
health inequalities,Public Health,Differences in health status or in the distribution of health determinants between different population groups.,Epidemiology,,"Dictionary of Epidemiology: A Dictionary of Epidemiology, Sixth Edition Edited by Miquel Porta ISBN: 978-0-199-97672-0",,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978053_health inequalities_Public Health,1551347978053
herd,Common Term,A large group of animals of the same type that live and feed together.,Epidemiology,,FOHM,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977739_herd_Common Term,1551347977739
hermetically sealed container,Food Safety,a container that is designed and intended to be secure against the entry of hazards,Food Safety; Sampling and laboratory testing,,REGULATION (EC) No 852/2004,,,,,,,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32004R0852&from=en,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977722_hermetically sealed container_Food Safety,1551347977722
high risk group,Public Health,"a group of persons whose risk for a particular disease, injury, or other health condition is greater than that of the rest of their community or population.",Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977736_high risk group_Public Health,1551347977736
high risk group,Food Safety,Definition shared with public health,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978020_high risk group_Food Safety,1551347978020
high risk group,Animal Health,Definition shared with public health,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978021_high risk group_Animal Health,1551347978021
HORECA,Food Safety,"Food prepared and served by kitchens in Hotel, Restaurant and Catering. This included e.g. café/restaurant, institution, home, take-away outlet and any other large professional/commercial kitchen",Food safety,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978066_HORECA_Food Safety,1551347978066
household outbreak,Food Safety,outbreak where all the human cases live in one single household,Epidemiology,,"EFSA, Manual for reporting on food-borne outbreaks",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2017.EN-1174,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978131_household outbreak_Food Safety,1551347978131
identity check,Food Safety,a visual inspection to ensure that certificates or other documents accompanying the consignment tally with the labelling and the content of the consignment,Regulatory,,REGULATION (EC) No 882/2004,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:2004R0882:20090807:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977783_identity check_Food Safety,1551347977783
in silico serotype,Common Term,the use of one or several molecular methods to derive the serotype (examples PCR and/or sequencing),Sampling and laboratory testing,,ORION preliminary definition,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978299_in silico serotype_Common Term,1551347978299
incidence,Food Safety,Definition shared with animalhealth.,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977882_incidence_Food Safety,1551347977882
incidence,Animal Health,Incidence is the number of new cases that occur in a known population over a specified period of time.,Epidemiology,,"Thrusfield, Veterinary Epidemiology",,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978083_incidence_Animal Health,1551347978083
incidence,Public Health,Number of individuals who fall ill with a certain disease during a defined time period divided by the total population.,Epidemiology,,FOHM definition - to obtain source/reference,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978117_incidence_Public Health,1551347978117
incidence proportion,Animal Health,Definition shared with public health,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978022_incidence proportion_Animal Health,1551347978022
incidence proportion,Public Health,The number of new cases within a specified time period divided by the size of the population initially at risk.,Epidemiology,,FOHM definition - to obtain source/reference?,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978243_incidence proportion_Public Health,1551347978243
incidence rate,Animal Health,Definition shared with public health,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978023_incidence rate_Animal Health,1551347978023
incidence rate,Public Health,The number of new cases per population at risk in a given time period.,Epidemiology,,FOHM definition - to obtain source/reference?,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978242_incidence rate_Public Health,1551347978242
incubation period,Animal Health,Definition shared with public health,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978024_incubation period_Animal Health,1551347978024
incubation period,Public Health,Period extending from the moment at person is infected until he/she develops symptoms of disease.,Epidemiology,,FOHM definition - to obtain source/reference?,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978136_incubation period_Public Health,1551347978136
index case,Animal Health,Definition shared with public health,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978025_index case_Animal Health,1551347978025
index case,Public Health,"see ""primary case""",Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978172_index case_Public Health,1551347978172
index case,Public Health,the first case or instance of a patient coming to the attention of health authorities.,Epidemiology,,CDC glossary,,,,,,,,,,,,https://www.cdc.gov/ophss/csels/dsepd/ss1978/glossary.html,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978224_index case_Public Health,1551347978224
indicator,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977950_indicator_Animal Health,1551347977950
indicator,Food Safety,"Quantitative variable or qualitative factor that provides a simple and reliable means to measure achievement, to reflect the changes connected to activities, or to help assess the performance of a program or system.",Regulatory,,Codex Alimentarius (Principles and Guidlines for Monitoring the performance of National Food Control Systems),,,,,,,,,,,,https://bit.ly/2BXG3EG,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978153_indicator_Food Safety,1551347978153
indicator-based surveillance,Animal Health,Traditional disease surveillance which relies on the collection of data about the occurrence of pre-defined diseases or conditions and which uses agreed-upon case definitions; these data are analysed to produce indicators that point towards the existence of a threat. Indicator-based surveillance may be hazard-specific or general and includes the use of clinical or other data for syndromic surveillance.,Type of study,,RiskSur,,,,,,,,,,,,https://www.fp7-risksur.eu/terminology/glossary,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978303_indicator-based surveillance_Animal Health,1551347978303
indistinguishable causative agent,Food Safety,"causative agent that has been characterised to the level (of speciation/sub-typing (e.g. sero-/phage-/ribotyping), or molecular typing) needed to link the human cases to each other and to the food vehicle",Epidemiology,,"EFSA, Manual for reporting on food-borne outbreaks",,,,,,,,,,,,https://efsa.onlinelibrary.wiley.com/doi/epdf/10.2903/sp.efsa.2017.EN-1174,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977832_indistinguishable causative agent_Food Safety,1551347977832
inspection,Animal Health,Definition shared with food safety,Regulatory,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977951_inspection_Animal Health,1551347977951
inspection,Food Safety,"the examination of any aspect of feed, food, animal health and animal welfare in order to verify that such aspect(s) comply with the legal requirements of feed and food law and animal health and animal welfare rules",Regulatory,,REGULATION (EC) No 882/2004,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:2004R0882:20090807:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978222_inspection_Food Safety,1551347978222
interlaboratory study,Food Safety,Study of the performance of the alternative method using identical samples in several laboratories and controlled by the expert laboratory.,Sampling and laboratory testing,,NordVal-protocol,,,,,,,,,,,,https://www.nmkl.org/dokumenter/nordval/NordVal-protocol-No-1_Micro_September-2018.pdf,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978190_interlaboratory study_Food Safety,1551347978190
introduction,Animal Health,Definition shared with food safety,Epidemiology,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977952_introduction_Animal Health,1551347977952
introduction,Food Safety,"import (see import), and the placing of goods under the customs procedures referred to in points (b) to (f) of Article 4(16) of Regulation (EEC) No 2913/92, as well as their entry into a free zone or free warehouse",Epidemiology,,REGULATION (EC) No 882/2004,,,,,,,,,,,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:2004R0882:20090807:EN:PDF,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978081_introduction_Food Safety,1551347978081
isolate,Food Safety,A pure strain of bacteria which has been seperated from a mixed bacterial culture,Sampling and laboratory testing,,FDA-TRACK Research Glossary,,,,,,,,,,,,https://definedterm.com/bacterial_isolates,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347977756_isolate_Food Safety,1551347977756
isolate,Public Health,pure culture of an organism,Sampling and laboratory testing,,,,,,,,,,,,,,,Thu Feb 28 2019 11:36:37 GMT+0100 (MEZ),Thu Feb 28 2019 12:34:24 GMT+0100 (MEZ),,1551347978152_isolate_Public Health,1551347978152
