Category,Sector,Term,Definition,Adapted/Original_Definition,Related_terms,relatedTermIDs,Link_to_reference,DOI,PMID,ISBN,Reference_source,Publication_Title,Year,Authors,Publisher,Journal,Reference_description,Creation_Date,Date_of_change,UUID
Epidemiology,Shared Term,food-borne illness,"A food-borne disease or food-borne illness is defined as a disease, usually either infectious or toxic in nature, caused by agents that enter the body through the ingestion of food.",,food-borne disease, foodbornedisease_4aab8206-89e2-42ff-a55c-fe06169732c3,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Food-borne_illness,,,,EUROSTAT,,Accessed on: 24.04.2019,,EUROSTAT,,,Thu Apr 04 2019 11:37:51 GMT+0200 (MESZ),14.05.2019 14:53:43,foodborneillness_b287e79c-6f1c-4b37-8ced-ff7d258195f5
Epidemiology,Shared Term,foodborne outbreak,"An incidence, observed under given circumstances, of two or more human cases of the same disease and/or infection, or a situation in which the observed number of human cases exceeds the expected number and where the cases are linked, or are probably linked, to the same food source.",original definition,,,http://data.europa.eu/eli/dir/2003/99/oj,,,,EU Directive or Regulation,"Directive 2003/99/EC of the European Parliament and of the Council of 17 November 2003 on the monitoring of zoonoses and zoonotic agents, amending Council Decision 90/424/EEC and repealing Council Directive 92/117/EEC",2003,"European Parliament, Council of the European Union",EC,,,Thu Apr 04 2019 11:37:51 GMT+0200 (MESZ),15.05.2019 17:12:02,foodborneoutbreak_93a65c60-ed45-4fa6-bdb6-b39cbb2c38fc
Epidemiology,Shared Term,foodborne pathogen,"A pathogen present in food, which may cause human disease(s) or illness through consumption of food contaminated with the pathogen and / or the biological products produced by the pathogen.",,,,https://bit.ly/2E89FCa,,,,Report,Guidelines for Risk Analysis of Foodborne Antimicrobial Resistance CAC/GL 77- 2011,2011,,Codex Alimentarius,,,"Do., Apr. 4 2019 11:37:51",24.04.2019 08:06:34,foodbornepathogen_488accd1-d700-43c4-abc0-efe574b60da5
Epidemiology,Shared Term,foodborne zoonoses,"Food-borne zoonotic diseases are caused by consuming food or drinking water contaminated by pathogenic (disease-causing) micro-organisms such as bacteria and their toxins, viruses and parasites. They enter the body through the gastrointestinal tract where the first symptoms often occur. Many of these micro-organisms are commonly found in the intestines of healthy food-producing animals. The risks of contamination are present from farm to fork and require prevention and control throughout the food chain.",,,,https://www.efsa.europa.eu/en/topics/topic/food-borne-zoonotic-diseases,,,,Website,Food-borne zoonotic diseases,2019,,EFSA,,,Wed Apr 10 2019 08:53:25 GMT+0200 (MESZ)_foodbornezoonoses_AnimalHealth_Animal Health,14.05.2019 14:59:13,foodbornezoonoses_e6e1beff-8537-4a23-8e97-3e022cb7794e
Others,Shared Term,food business,"Any undertaking, whether for profit or not and whether public or private, carrying out any of the activities related to any stage of production, processing and distribution of food.",original definition,,,http://data.europa.eu/eli/reg/2002/178/oj,,,,EU Directive or Regulation,"Regulation (EC) No 178/2002 of the European Parliament and of the Council of 28 January 2002 laying down the general principles and requirements of food law, establishing the European Food Safety Authority and laying down procedures in matters of food safety",2002,"European Parliament, Council of the European Union",EC,,,Thu Apr 04 2019 11:37:50 GMT+0200 (MESZ),15.05.2019 16:15:14,foodbusiness_ab1ff56a-427c-4c2b-8ebd-f079b4253f27
Others,Shared Term,Food Business Operator (FBO),The natural or legal persons responsible for ensuring that the requirements of food law are met within the food business under their control.,original definition,,,http://data.europa.eu/eli/reg/2002/178/oj,,,,EU Directive or Regulation,"Regulation (EC) No 178/2002 of the European Parliament and of the Council of 28 January 2002 laying down the general principles and requirements of food law, establishing the European Food Safety Authority and laying down procedures in matters of food safety",2002,"European Parliament, Council of the European Union",EC,,,Thu Apr 04 2019 11:38:17 GMT+0200 (MESZ),15.05.2019 16:15:55,FoodBusinessOperatorFBO_4b828dd0-32ba-4876-b8f5-edebce22d22b
Others,Public Health,food categories,,original definition,,,,,,,ORION preliminary definition,,,,,,,,18.05.2019 13:45:32,foodcategories_3aee0606-27fd-475d-b3a2-c7976cd6f4cd
Others,Shared Term,food categories,Defined in FoodEx2. See FoodEx2,original definition,FoodEx2, FoodEx_a715b14a-efdb-4d4b-9947-c3246abb7c8a; FoodEx_9bb0ba0d-5dcc-441e-8b65-9ab6945d653f; FoodEx_1fe60002-fdbe-468a-8b24-a74ae54fb0a9,https://www.efsa.europa.eu/en/supporting/pub/en-804,,,,EFSA,The food classification and description system FoodEx 2 (revision 2),2015,,EFSA,,ORION preliminary,Thu Apr 04 2019 11:38:17 GMT+0200 (MESZ),15.05.2019 16:17:45,foodcategories_7440c79c-28f4-4b24-9321-01bde7ff87aa
Others,Public Health,FoodEx2,No definition could be identified for this domain,original definition,,,,,,,ORION preliminary definition,,,,,,,,18.05.2019 14:07:15,FoodEx_a715b14a-efdb-4d4b-9947-c3246abb7c8a
Others,Animal Health,FoodEx2,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:39",,FoodEx_1fe60002-fdbe-468a-8b24-a74ae54fb0a9
Others,Food Safety,FoodEx2,"Food classification and description system ver. 2. Facet-based food classification and description system, where the most commonly needed combinations of facet descriptors are condensed into list terms whose scope is narrow enough to be recognised in different food safety domains. These terms are aggregated into hierarchies accordingly to the needs of the different domains.",,,,https://doi.org/10.2903/j.efsa.2013.3424,10.2903/j.efsa.2013.3424,,,Report,Standard Sample Description ver. 2.0,2013,,EFSA,,,"Do., Apr. 4 2019 11:37:39",23.04.2019 23:36:15,FoodEx_9bb0ba0d-5dcc-441e-8b65-9ab6945d653f
Others,Shared Term,food handler,"Any person who directly handles packaged or unpackaged food, food equipment and utensils, or food contact surfaces and is therefore expected to comply with food hygiene requirements.",original definition,,,https://bit.ly/2nnygVy,,,,Codex Alimentarius,General Principles of Food Hygiene CAC/RCP 1-1969,2003,,Codex Alimentarius,,,Thu Apr 04 2019 11:38:17 GMT+0200 (MESZ),15.05.2019 16:18:31,foodhandler_f65972da-8db8-4725-84e1-331ce19fe9ad
Regulatory,Shared Term,food hygiene,The measures and conditions necessary to control hazards and to ensure fitness for human consumption of a foodstuff taking into account its intended use.,original definition,,,http://data.europa.eu/eli/reg/2004/852/oj,,,,EU Directive or Regulation,Regulation (EC) No 852/2004 of the European Parliament and of the Council of 29 April 2004 on the hygiene of foodstuffs,2004,"European Parliament, Council of the European Union",EC,,,Thu Apr 04 2019 11:38:17 GMT+0200 (MESZ),15.05.2019 17:08:05,foodhygiene_0f5f6aa6-46ce-49ae-8e03-fef153eca1a0
Others,Food Safety,food intended for infants,food specifically intended forinfants,,,,http://data.europa.eu/eli/reg/2005/2073/oj,,,,EU Directive or Regulation,Commission Regulation (EC) No 2073/2005 of 15 November 2005 on microbiological criteria for foodstuffs,2005,European Commission,,Official Journal of the European Union,,"Do., Apr. 4 2019 11:37:50",24.04.2019 07:44:58,foodintendedforinfants_84db103b-6e23-49a6-b06f-0f88259a57a6
Others,Public Health,food intended for infants,No definition could be identified for this domain,original definition,,,,,,,ORION preliminary definition,,,,,,,,18.05.2019 13:47:12,foodintendedforinfants_f2ab68c3-8ec6-41fd-9f33-4b878ff617a0
Others,Animal Health,food intended for infants,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:50",,foodintendedforinfants_6ee695b9-d196-48da-8b58-5a3c14939b58
Sampling and laboratory testing,Food Safety,food intended for special medical purposes,"dietary food for special medical purposes, as defined in Commission Directive 1999/21/EC",,,,http://data.europa.eu/eli/reg/2005/2073/oj,,,,EU Directive or Regulation,Commission Regulation (EC) No 2073/2005 of 15 November 2005 on microbiological criteria for foodstuffs,2005,European Commission,,Official Journal of the European Union,,"Do., Apr. 4 2019 11:37:50",24.04.2019 07:46:05,foodintendedforspecialmedicalpurposes_63a6cfe4-5511-41d8-9960-f2223bae7fbc
Sampling and laboratory testing,Public Health,food intended for special medical purposes,"dietary food for special medical purposes, as defined in Commission Directive 1999/21/EC",,,,http://data.europa.eu/eli/reg/2005/2073/oj,,,,EU Directive or Regulation,Commission Regulation (EC) No 2073/2005 of 15 November 2005 on microbiological criteria for foodstuffs,2005,European Commission,,Official Journal of the European Union,,"Do., Apr. 4 2019 11:37:50",24.04.2019 07:46:05,foodintendedforspecialmedicalpurposes_99494dbc-0826-4d3a-b394-42aa73b39e83
Others,Public Health,food intended for special medical purposes,No definition could be identified for this domain,original definition,,,,,,,ORION preliminary definition,,,,,,,,18.05.2019 13:47:50,foodintendedforspecialmedicalpurposes_d30b770e-f5eb-4e91-b5be-df617c4dc212
Sampling and laboratory testing,Animal Health,food intended for special medical purposes,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:50",,foodintendedforspecialmedicalpurposes_daa79fc1-2566-403f-a9ba-aa6992c34f09
Regulatory,Shared Term,food law,"The laws, regulations and administrative provisions governing food in general, and food safety in particular, whether at Community or national level; it covers any stage of production, processing and distribution.",original definition,,,http://data.europa.eu/eli/reg/2002/178/oj,,,,EU Directive or Regulation,"Regulation (EC) No 178/2002 of the European Parliament and of the Council of 28 January 2002 laying down the general principles and requirements of food law, establishing the European Food Safety Authority and laying down procedures in matters of food safety",2002,"European Parliament, Council of the European Union",EC,,,Thu Apr 04 2019 11:38:17 GMT+0200 (MESZ),15.05.2019 16:19:59,foodlaw_c7c02448-c0f8-4365-9af2-e6db7b8c7634
Others,Shared Term,food or feed import,The release for free circulation of feed or food or the intention to release feed or food for free circulation within the meaning of Article 79 of Regulation (EEC) No 2913/92 in one of the territories referred to in Annex I.,original definition,,,http://data.europa.eu/eli/reg/2004/882/oj,,,,EU Directive or Regulation,"Regulation (EC) No 882/2004 of the European Parliament and of the Council of 29 April 2004 on official controls performed to ensure the verification of compliance with feed and food law, animal health and animal welfare rules",2004,"European Parliament, Council of the European Union",EC,,,Thu Apr 04 2019 11:37:50 GMT+0200 (MESZ),15.05.2019 16:20:48,foodorfeedimport_4a2c6446-5870-4dc9-95a2-52c5d769820e
Sampling and laboratory testing,Shared Term,food or feed processing,"any action that substantially alters the initial product, including heating, smoking, curing, maturing, drying, marinating, extraction, extrusion or a combination of those processes",,,,http://data.europa.eu/eli/reg/2004/852/oj,,,,EU Directive or Regulation,Regulation (EC) No 852/2004 of the European Parliament and of the Council of 29 April 2004 on the hygiene of foodstuffs,2004,"European Parliament, Council of the European Union",,,,Thu Apr 04 2019 11:37:50 GMT+0200 (MESZ),14.05.2019 14:22:51,foodorfeedprocessing_b14d3c86-d2c6-41f7-8221-d839477cda12
Regulatory,Shared Term,food safety,Assurance that food will not cause harm to the consumer when it is prepared and/or eaten according to its intended use.,,,,https://bit.ly/2nnygVy,,,,Codex Alimentarius,General Principles of Food Hygiene CAC/RCP 1-1969,2003,,Codex Alimentarius,,,Thu Apr 04 2019 11:37:50 GMT+0200 (MESZ),14.05.2019 14:46:51,foodsafety_421dfaed-cea4-4517-bda6-5116cf7079c5
Regulatory,Food Safety,food safety criterion,criterion defining the acceptability of a product or a batch of foodstuff applicable to products placed on the market.,,,,http://data.europa.eu/eli/reg/2005/2073/oj,,,,EU Directive or Regulation,Commission Regulation (EC) No 2073/2005 of 15 November 2005 on microbiological criteria for foodstuffs,2005,European Commission,,Official Journal of the European Union,,"Do., Apr. 4 2019 11:37:51",24.04.2019 07:50:48,foodsafetycriterion_07b38149-27d6-4590-9a88-31883bc1d9e1
Regulatory,Public Health,food safety criterion,No definition could be identified for this domain,original definition,,,,,,,ORION preliminary definition,,,,,,,,18.05.2019 13:49:57,foodsafetycriterion_e05af71d-0773-4bad-91ab-a9f1ff54b127
Regulatory,Animal Health,food safety criterion,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:51",,foodsafetycriterion_29047382-7702-4449-b860-9b55768b0714
Others,Public Health,Food Safety Objective (FSO),No definition could be identified for this domain,original definition,,,,,,,ORION preliminary definition,,,,,,,,18.05.2019 13:50:17,FoodSafetyObjectiveFSO_c0ea3ea0-19b5-4212-aa3d-7769f4f4b40f
Regulatory,Animal Health,Food Safety Objective (FSO),No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:51",,FoodSafetyObjectiveFSO_f88c3cab-9226-40c1-a623-f7dc38a05e4e
Regulatory,Food Safety,Food Safety Objective (FSO),The maximum frequency and/or concentration of a hazard in a food at the time of consumption that provides or contributes to the appropriate level of protection (ALOP).,,,,http://www.fao.org/3/i8608en/I8608EN.pdf,,,978-92-5-130341-2,Report,Codex Alimentarius Commission Procedural Manual,2018,,Codex Alimentarius,,,"Do., Apr. 4 2019 11:37:51",24.04.2019 07:52:30,FoodSafetyObjectiveFSO_b5e5e195-e6b7-452d-afb1-7fbd104cc29a
Others,Public Health,food safety target,No definition could be identified for this domain,original definition,,,,,,,ORION preliminary definition,,,,,,,,18.05.2019 13:50:33,foodsafetytarget_0fc1fadd-b365-48a1-93f9-2debbd1c1a18
Regulatory,Animal Health,food safety target,No definition could be identified for this sector,,,,,,,,ORION preliminary definition,,,,,,,"Do., Apr. 4 2019 11:37:51",,foodsafetytarget_9ed0a485-3ebc-4bbf-b42b-c162a5c4ba55
